"Designator","Quantity","Value","Footprint","Package","MPN","DNP","Mount_Type","LCSC","Description","JlcRotOffset","JlcPosOffset","MFP#","MP#","Mfr. Part #","MPN","JLCPCB_CORRECTION"
"C1, C10, C14, C15, C16, C19, C20, C5, C6, C7, C8, C9",12,"100nF","C_0402_1005Metric","0402","CL05B104KB54PNC",,"smt","C307331","Multilayer Ceramic Capacitors",,,,,,,
"C11, C12, C13",3,"2u2","C_0805_2012Metric","0805","CL21B225KAFNNNE",,"smt","C19110","Multilayer Ceramic Capacitors",,,,,,,
"C17, C18",2,"15p","C_0402_1005Metric","0402","CL05C150JB5NNNC",,"smt","C86285","Multilayer Ceramic Capacitors",,,,,,,
"C2",1,"4.7uF","C_0805_2012Metric","0805","CL21A475KAQNNNE",,"smt","C1779","Multilayer Ceramic Capacitors",,,,,,,
"C3",1,"10uF","C_0805_2012Metric","0805","CL21A106KOQNNNE",,"smt","C1713","Multilayer Ceramic Capacitors",,,,,,,
"C4",1,"47uF","C_0805_2012Metric","0805","CL21A476MQYNNNE",,"smt","C16780","Multilayer Ceramic Capacitors",,,,,,,
"F1",1,"500mA","Fuse_1206_3216Metric","1206","ASMD1206-150",,"smt","C135341","Multilayer Ceramic Capacitors",,,,,,,
"FB1",1,"600R","BEADC1608X95N","0603","BLM18AG601SN1D",,"smt","C19330","Ferrite bead, small symbol",,,,,,,
"J1",1,"USB_C_Receptacle_USB2.0","USB_C_31-M-12","SMD","TYPE-C-31-M-12A",,"smt","C5337088","USB 2.0-only 16P Type-C Receptacle connector",180,"0,1.5","TYPE-C-31-M-12A",,,,
"J3",1,"Conn_02x17_Odd_Even","IDC_2X17_1.27MM","IDC Connectors","X1270WV-2x17B-6TV01",,"tht","C5147222","Generic connector, double row, 02x17, odd/even pin numbering ",,,,,,,
"LED1",1,"Led","LED_0805_2012Metric","0805","D-B080508B1-KS2",,"smt","C108412","Light emitting diode, small symbol, filled shape",,,,,,,
"R1",1,200,"R_0402_1005Metric","0402","0402WGJ0512TCE",,"smt","C25941","Resistor, small symbol",,,,,,,
"R10, R12, R4, R6",4,27,"R_0402_1005Metric","0402","0402WGF270JTCE",,"smt","C25100","Resistor, small symbol",,,,"0402WGF270JTCE",,,
"R11",1,"1K","R_0402_1005Metric","0402","0402WGF1001TCE",,"smt","C11702","Resistor, small symbol",,,,,,,
"R2, R3",2,"5.1k","R_0402_1005Metric","0402","0402WGF5101TCE",,"smt","C25905","Resistor",,,,,,,
"R5, R9",2,"10k","R_0402_1005Metric","0402","0402WGF1002TCE",,"smt","C25744","Resistor",,,,,,,
"R7, R8",2,"1k","R_0402_1005Metric","0402","0402WGF1001TCE",,"smt","C11702","Resistor, small symbol",,,,,,,
"U1",1,"XC6206PxxxMR-Regulator_Linear","SOT-23","SOT-23-3L","XC6206P332MR-G",,"smt","C5446","200mA Fixed 3.3V SOT-23-3L Voltage Regulators â€“ Linear",,,,,,,
"U2",1,"PRTR5V0U2X","SOT-143","SOT-143-4","PRTR5V0U2X",,"smt","C2827688","6A 100W 15V 6.5V Unidirectional 5V SOT-143-4 ESD and Surge Protection",90,,"PRTR5V0U2X",,,,
"U3",1,"W25Q128JVS","SOIC_128JVSIQ_WIN","SOIC-8-208mil","W25Q128JVSIQ",,"smt","C97521","128Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8",,,,,"W25Q128JVSIQ",,
"U4",1,"RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","LQFN-56(7x7)","RP2040",,"smt","C2040","A microcontroller by Raspberry Pi",,,"RP2040",,,,
"U5",1,"74LVC1T45","SOT-26","SOT-26","74LVC1T45W6-7",,"smt","C168856","1.65V~5.5V 1 1 1.65V~5.5V SOT-26 Translators, Level Shifters ROHS",,,,,,"74LVC1T45W6-7","0; 0; 270"
"Y1",1,"12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm","SMD3225-4P","ABM8-272-T3",,"smt","C20625731","Four pin crystal, GND on pins 2 and 4, small symbol",,,"ABM8-272-T3",,,,
